g	p	FC
AC5u0009GL001503	1.86E-12	1.054053843
AC5u0009GL000903	1.57E-12	1.069070691
AC5u0009GL001226	1.03E-12	-1.537888199
AC5u0009GL001424	9.23E-13	0.487991085
AC5u0009GL001489	6.57E-13	0.882183918
AC5u0009GL000756	6.31E-13	1.483041914
AC5u0009GL001666	4.11E-13	1.524024814
AC5u0009GL001357	3.43E-13	0.698626846
AC5u0009GL000396	2.57E-13	-1.395908699
AC5u0009GL000274	2.18E-13	-1.428590751
AC5u0009GL001485	1.68E-13	1.40208975
AC5u0009GL001667	1.48E-13	1.620475989
AC5u0009GL001463	1.02E-13	0.785068852
AC5u0009GL001222	8.80E-14	0.497687991
AC5u0009GL001436	7.49E-14	-0.832402384
AC5u0009GL001886	6.96E-14	-1.461443973
AC5u0009GL001885	4.88E-14	-1.408863975
AC5u0009GL001758	4.75E-14	-1.203136903
AC5u0009GL001315	1.37E-14	1.510734418
AC5u0009GL002037	1.14E-14	0.755296281
AC5u0009GL000613	1.13E-14	0.796110308
AC5u0009GL001437	1.11E-14	-1.540019344
AC5u0009GL000933	9.15E-15	-1.017121353
AC5u0009GL001663	4.57E-16	-0.733401683
AC5u0009GL000414	3.79E-16	0.63812137
AC5u0009GL000271	3.24E-16	-0.906198151
AC5u0009GL001888	1.27E-16	-1.806807326
AC5u0009GL000755	6.93E-17	1.082288272
AC5u0009GL000120	4.70E-17	0.602630418
AC5u0009GL000409	3.32E-17	-1.576114101
AC5u0009GL001901	1.57E-17	-2.128817303
AC5u0009GL000435	1.43E-17	1.20856851
AC5u0009GL001887	1.29E-17	-1.718251485
AC5u0009GL001872	1.01E-17	-0.858038295
AC5u0009GL001897	6.13E-18	-2.117018211
AC5u0009GL001361	6.11E-18	0.781343986
AC5u0009GL001438	2.53E-18	-1.501808224
AC5u0009GL001898	1.25E-18	-2.144786316
AC5u0009GL000913	1.08E-18	-1.15485103
AC5u0009GL001313	6.87E-19	1.074612951
AC5u0009GL001900	5.82E-19	-2.259842702
AC5u0009GL000729	5.79E-19	0.925848692
AC5u0009GL001890	2.88E-19	-2.086442035
AC5u0009GL001119	1.30E-19	-2.058859185
AC5u0009GL000111	1.12E-19	1.750885386
AC5u0009GL000327	6.39E-20	0.835155024
AC5u0009GL000452	5.01E-20	0.501992797
AC5u0009GL001484	3.68E-20	0.929739868
AC5u0009GL000964	7.01E-21	0.595893892
AC5u0009GL000798	4.27E-21	-0.925896298
AC5u0009GL000727	3.83E-21	0.883668455
AC5u0009GL000794	3.10E-21	-0.863789032
AC5u0009GL001894	2.92E-21	-2.271299077
AC5u0009GL001899	1.79E-21	-2.215718155
AC5u0009GL000227	1.17E-21	0.568530622
AC5u0009GL001889	1.02E-21	-2.169507642
AC5u0009GL001529	9.02E-22	-0.76867398
AC5u0009GL001360	8.10E-22	0.826805393
AC5u0009GL000400	6.16E-22	1.549081038
AC5u0009GL001356	5.56E-22	0.718372383
AC5u0009GL000675	1.33E-22	-0.751000793
AC5u0009GL001891	9.57E-23	-2.168303793
AC5u0009GL000976	5.09E-23	-1.667230041
AC5u0009GL001902	3.67E-23	-2.370021096
AC5u0009GL000678	3.24E-23	-0.97360882
AC5u0009GL001892	2.21E-23	-2.299455129
AC5u0009GL000228	1.96E-23	0.629465227
AC5u0009GL001858	3.57E-24	1.903182052
AC5u0009GL001778	2.95E-24	-1.139593403
AC5u0009GL001680	2.37E-24	-1.404362327
AC5u0009GL001518	1.16E-24	-1.314072693
AC5u0009GL001893	8.99E-25	-2.448671906
AC5u0009GL001358	1.97E-25	0.79705617
AC5u0009GL001896	1.79E-25	-2.382102816
AC5u0009GL002028	1.55E-25	-2.249983788
AC5u0009GL000781	1.33E-25	1.420814801
AC5u0009GL001895	1.32E-25	-2.47150019
AC5u0009GL000615	7.25E-27	0.957764762
AC5u0009GL001952	5.67E-27	-1.767518932
AC5u0009GL001971	5.55E-27	1.283982426
AC5u0009GL000399	1.89E-28	0.635681011
AC5u0009GL000468	1.10E-28	1.438733593
AC5u0009GL001308	5.59E-29	-1.730147372
AC5u0009GL001495	1.66E-29	2.390733864
AC5u0009GL000269	6.38E-30	-1.436016086
